address,kind,depth,title,source_line,note
2090/50b,b,5,Human sexual behavior,1048,
2090/50c,b,5,Human sexuality,1049,
2090/50d,b,5,Queer studies/Queer theory,1050,
2090/50e,b,5,Sex education,1051,
2090/51,b,4,Social capital,1052,
2090/52,b,4,Social change,1053,
2090/53,b,4,Social conflict theory,1054,
2090/54,b,4,Social control,1055,
2090/54a,b,5,Pure sociology,1056,
2090/55,b,4,Social economy,1057,
2090/56,b,4,Social philosophy,1058,
2090/57,b,4,Social policy,1059,
2090/58,b,4,Social psychology,1060,
2090/59,b,4,Social stratification,1061,
2090/60,b,4,Social theory,1062,
2090/61,b,4,Social research,1063,
2090/62,b,4,Social transformation,1064,
2090/62a,b,5,Computational sociology,1065,
2090/62b,b,5,Economic sociology/Socioeconomics,1066,
2090/62b1,b,6,Economic development,1067,
2090/62b2,b,6,Social development,1068,
2090/62b3,b,6,Social development,1069,
2090/63,b,4,Sociobiology,1070,
2090/64,b,4,Sociocybernetics,1071,
2090/65,b,4,Sociolinguistics,1072,
2090/66,b,4,Sociology of aging,1073,
2090/67,b,4,Sociology of agriculture,1074,
2090/68,b,4,Sociology of art,1075,
2090/69,b,4,Sociology of autism,1076,
2090/70,b,4,Sociology of childhood,1077,
2090/71,b,4,Sociology of conflict,1078,
2090/72,b,4,Sociology of culture,1079,
2090/73,b,4,Sociology of cyberspace,1080,
2090/74,b,4,Sociology of development,1081,
2090/75,b,4,Sociology of deviance,1082,
2090/76,b,4,Sociology of disaster,1083,
2090/77,b,4,Sociology of education,1084,
2090/78,b,4,Sociology of emotions,1085,
2090/79,b,4,Sociology of fatherhood,1086,
2090/80,b,4,Sociology of film,1087,
2090/81,b,4,Sociology of finance,1088,
2090/82,b,4,Sociology of food,1089,
2090/83,b,4,Sociology of gender,1090,
2090/84,b,4,Sociology of generations,1091,
2090/85,b,4,Sociology of globalization,1092,
2090/86,b,4,Sociology of government,1093,
2090/87,b,4,Sociology of health and illness,1094,
2090/88,b,4,Sociology of human consciousness,1095,
2090/89,b,4,Sociology of immigration,1096,
2090/90,b,4,Sociology of knowledge,1097,
2090/91,b,4,Sociology of language,1098,
2090/92,b,4,Sociology of law,1099,
2090/93,b,4,Sociology of leisure,1100,
2090/94,b,4,Sociology of literature,1101,
2090/95,b,4,Sociology of markets,1102,
2090/96,b,4,Sociology of marriage,1103,
2090/97,b,4,Sociology of motherhood,1104,
2090/98,b,4,Sociology of music,1105,
2090/99,b,4,Sociology of natural resources,1106,
2090/100,b,4,Sociology of organizations,1107,
